section No,例文 No,単語No,英文,日本文,語句,意味,語句2,意味2,語句3,意味3
2,10,43,Bob 【was】 so 【beside】 【himself】 that he could scarcely tell fact from fiction.,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。,be beside oneself (with...),(…で)ひどく興奮する、取り乱す,,,,
2,10,44,Bob was so beside himself that he could 【scarcely】 tell fact from fiction.,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。,scarcely ...,ほとんど…ない,,,,
2,10,45,Bob was so beside himself that he could scarcely 【tell】 fact 【from】 fiction.,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。,tell A from B,ＡをＢと区別する,,,,
2,10,46,Bob was so beside himself that he could scarcely tell 【fact】 from fiction.,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。,fact,事実、現実,,,,
2,10,47,Bob was so beside himself that he could scarcely tell fact from 【fiction】.,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。,fiction,作り話、虚構,,,,
2,11,48,"His new 【novel】, which combines prose with his gift for poetry, is going to be published.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。,novel,小説,,,,
2,11,49,"His new novel, which 【combines】 prose 【with】 his gift for poetry, is going to be published.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。,combine,(複数の物が)組み合わさる,combine A with(and) B,ＡとＢを組み合わせる,,
2,11,50,"His new novel, which combines 【prose】 with his gift for poetry, is going to be published.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。,prose,散文,,,,
2,11,51,"His new novel, which combines prose with his 【gift】 for poetry, is going to be published.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。,gift,才能,,,,
2,11,52,"His new novel, which combines prose with his gift for 【poetry】, is going to be published.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。,poetry,詩,,,,
2,11,53,"His new novel, which combines prose with his gift for poetry, is going to be 【published】.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。,publish ...,…を出版する,,,,
2,12,54,An 【up】-【to】-【date】 edition of the encyclopedia will come out next month.,来月、その百科事典の最新版が出る。,up-to-date...,最新の…,,,,
2,12,55,An up-to-date 【edition】 of the encyclopedia will come out next month.,来月、その百科事典の最新版が出る。,edition,版,,,,
2,12,56,An up-to-date edition of the 【encyclopedia】 will come out next month.,来月、その百科事典の最新版が出る。,encyclopedia,百科事典,,,,
2,12,57,An up-to-date edition of the encyclopedia will 【come】 【out】 next month.,来月、その百科事典の最新版が出る。,come out,発売される、出版される,,,,
2,13,58,Ms. Yamada 【translated】 the fascinating fairy tale into plain Japanese.,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。,translate (...) (from A into B),(…を)(AからBに)翻訳する,,,,
2,13,59,Ms. Yamada translated the 【fascinating】 fairy tale into plain Japanese.,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。,fascinating,魅了する,,,,
2,13,60,Ms. Yamada translated the fascinating 【fairy】 【tale】 into plain Japanese.,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。,fairy,妖精,fairy tale[story],おとぎ話,,
2,13,61,Ms. Yamada translated the fascinating fairy 【tale】 into plain Japanese.,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。,tale,話、物語,,,,
2,13,62,Ms. Yamada translated the fascinating fairy tale into 【plain】 Japanese.,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。,plain,平易な,,,,
2,14,63,The 【following】 passage is quoted from a well-known fable.,以下の一説は有名な寓話からの引用です。,following,以下の,,,,
2,14,64,The following 【passage】 is quoted from a well-known fable.,以下の一説は有名な寓話からの引用です。,passage,一節,,,,
2,14,65,The following passage is 【quoted】 from a well-known fable.,以下の一説は有名な寓話からの引用です。,quote,引用する,,,,
2,14,66,The following passage is quoted from a 【well】-【known】 fable.,以下の一説は有名な寓話からの引用です。,well-known,有名な,,,,
2,14,67,The following passage is quoted from a well-known 【fable】.,以下の一説は有名な寓話からの引用です。,fable,寓話,,,,
2,15,68,"""【Are】 you 【familiar】 【with】 contemporary literature?"" ""I know next to nothing about it.""",「現代文学に詳しいですか？」 「ほとんど知りません。」,familiar,よく知っている、なじみの,be familiar with...,…を(よく)知っている,,
2,15,69,"""Are you familiar with 【contemporary】 literature?"" ""I know next to nothing about it.""",「現代文学に詳しいですか？」 「ほとんど知りません。」,contemporary,現代の,,,,
2,15,70,"""Are you familiar with contemporary 【literature】?"" ""I know next to nothing about it.""",「現代文学に詳しいですか？」 「ほとんど知りません。」,literature,文学,,,,
2,15,71,"""Are you familiar with contemporary literature?"" ""I know 【next】 【to】 nothing about it.""",「現代文学に詳しいですか？」 「ほとんど知りません。」,next to...,ほとんど…,,,,
2,16,72,"【At】 【times】 I confuse ""curve"" with ""carve.""","時々、""curve""と""carve""を混同してしまう",at times,たまに、時々,,,,
2,16,73,"At times I 【confuse】 ""curve"" 【with】 ""carve.""","時々、""curve""と""carve""を混同してしまう",confuse…,…を混同する、…を困惑させる,confuse A with(and) B,ＡとＢを混同する,,
2,16,74,"At times I confuse ""【curve】"" with ""carve.""","時々、""curve""と""carve""を混同してしまう",curve,曲線,,,,
2,16,75,"At times I confuse ""curve"" with ""【carve】.""","時々、""curve""と""carve""を混同してしまう",carve ...,…を彫る,,,,
2,17,76,Don't be 【shy】. Your pronunciation is more or less correct.,恥ずかしがらないで。あなたの発音はだいたい合っています。,shy,恥ずかしがりの,,,,
2,17,77,Don't be shy. Your 【pronunciation】 is more or less correct.,恥ずかしがらないで。あなたの発音はだいたい合っています。,pronunciation,発音,,,,
2,17,78,Don't be shy. Your pronunciation is 【more】 【or】 【less】 correct.,恥ずかしがらないで。あなたの発音はだいたい合っています。,more or less,だいたい,,,,
2,17,79,Don't be shy. Your pronunciation is more or less 【correct】.,恥ずかしがらないで。あなたの発音はだいたい合っています。,correct,正しい,,,,
2,18,80,This 【article】 contains tips for those who are eager to increase their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,article,記事,,,,
2,18,81,This article 【contains】 tips for those who are eager to increase their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,contain ...,…を含んでいる,,,,
2,18,82,This article contains 【tips】 for those who are eager to increase their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,tip,役立つ情報,,,,
2,18,83,This article contains tips for 【those】 【who】 are eager to increase their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,those who ~,〜という人たち,,,,
2,18,84,This article contains tips for those who 【are】 【eager】 【to】 increase their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,eager,熱心な,be eager to do ...,しきりに…したがっている,,
2,18,85,This article contains tips for those who are eager to 【increase】 their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,increase ...,…を増やす,,,,
2,18,86,This article contains tips for those who are eager to increase their 【vocabulary】.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。,vocabulary,語彙,,,,
2,19,87,His 【latest】 works are on display at the city hall. They are fabulous beyond description.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど素敵よ。,latest,最新の,,,,
2,19,88,His latest 【works】 are on display at the city hall. They are fabulous beyond description.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど素敵よ。,work,作品、作業,,,,
2,19,89,His latest works 【are】 【on】 【display】 at the city hall. They are fabulous beyond description.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど素敵よ。,display,展示,be on display,展示されている,,
2,19,90,His latest works are on display at the 【city】 【hall】. They are fabulous beyond description.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど素敵よ。,hall,廊下、玄関ホール,city hall,市庁舎,,
2,19,91,His latest works are on display at the city hall. They are 【fabulous】 beyond description.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど素敵よ。,fabulous,すてきな,,,,
2,19,92,His latest works are on display at the city hall. They are fabulous 【beyond】 【description】.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど素敵よ。,description,描写、叙述,beyond description,言葉では表せない(ほど）,,
2,20,93,"""Could you 【move】 【over】 a little?"" ""Oh, sorry. I didn't realize I was taking up so much space.""",「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに 場所を取っていたなんて気付きませんでした｡」,move over,席を詰める,,,,
2,20,94,"""Could you move over a little?"" ""Oh, sorry. I didn't 【realize】 I was taking up so much space.""",「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに 場所を取っていたなんて気付きませんでした｡」,realize ...,…ということに気づく,,,,
2,20,95,"""Could you move over a little?"" ""Oh, sorry. I didn't realize I was 【taking】 【up】 so much space.""",「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに 場所を取っていたなんて気付きませんでした｡」,take up...,(必要以上に) ...(空間・時間など)を取る,,,,
2,21,96,"""What's this 【ugly】 object?"" ""This is a piece of abstract art!""",「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」,ugly,醜い、不格好な,,,,
2,21,97,"""What's this ugly 【object】?"" ""This is a piece of abstract art!""",「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」,object,物体、物,,,,
2,21,98,"""What's this ugly object?"" ""This is 【a】 【piece】 【of】 abstract art!""",「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」,a piece of...,一つの…,,,,
2,21,99,"""What's this ugly object?"" ""This is a piece of 【abstract】 art!""",「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」,abstract,抽象的な,,,,
