sectionNo,例文No,単語熟語No,例文,日本文,語句,意味,語句2,意味2,語句3,意味3
6,63,307,"""【Anything】 【else】?"" ""That's it."" ""For here or to go?"" ""To go.""",「ほかにご注文は?」「それだけです。」「こちらでお召し上がりですか？」「持ち帰ります。」,Anything else?,他に何か？,,,,
6,63,308,"""Anything else?"" ""【That's】 【it】."" ""For here or to go?"" ""To go.""",「ほかにご注文は?」「それだけです。」「こちらでお召し上がりですか？」「持ち帰ります。」,That's it.,以上です。,,,,
6,63,309,"""Anything else?"" ""That's it."" ""【For】 【here】 【or】 【to】 【go】?"" ""To go.""",「ほかにご注文は?」「それだけです。」「こちらでお召し上がりですか？」「持ち帰ります。」,For here or to go?,こちらでお召し上がりですか？,,,,
6,64,310,"""How much is this 【rug】?"" ""$100 including tax."" ""OK, I'll take it.""",「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」,rug,敷物,,,,
6,64,311,"""How much is this rug?"" ""$100 【including】 tax."" ""OK, I'll take it.""",「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」,including ...,…を含めて,,,,
6,64,312,"""How much is this rug?"" ""$100 including 【tax】."" ""OK, I'll take it.""",「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」,tax,税金,,,,
6,64,313,"""How much is this rug?"" ""$100 including tax."" ""OK, 【I'll】 【take】 【it】.""",「この敷物はおいくらですか?」「税込みで100ドルです」「じゃあ、これにします。」,I'll take it.,それにします。,,,,
6,65,314,I don't think those 【pants】 look good on you. Try these on. They're really in now!,そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。,pants,パンツ、ズボン,,,,
6,65,315,I don't think those pants 【look】 【good】 【on】 you. Try these on. They're really in now!,そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。,look good[nice] on...,(服などが)…(人)に似合う,,,,
6,65,316,I don't think those pants look good on you. 【Try】 these 【on】. They're really in now!,そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。,try...on,…を試しに着てみる,,,,
6,65,317,I don't think those pants look good on you. Try these on. They're really 【in】 now!,そのパンツはあなたには似合わないと思う。こっちをはいてみて。今すごく流行っているのよ。,be in,流行っている,,,,
6,66,318,"He 【got】 【out】 【of】 the cab in haste, saying, ""Keep the change.""",彼は「おつりはいいです」と言って、急いでタクシーを降りた。,get out (of...),（…から）降りる,,,,
6,66,319,"He got out of the 【cab】 in haste, saying, ""Keep the change.""",彼は「おつりはいいです」と言って、急いでタクシーを降りた。,cab,タクシー,,,,
6,66,320,"He got out of the cab 【in】 【haste】, saying, ""Keep the change.""",彼は「おつりはいいです」と言って、急いでタクシーを降りた。,in haste,急いで,,,,
6,66,321,"He got out of the cab in haste, saying, ""【Keep】 【the】 【change】.""",彼は「おつりはいいです」と言って、急いでタクシーを降りた。,Keep the change.,おつりはいりません,,,,
6,67,322,【Delivery】 service is available to our customers for a slight extra charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,delivery,配達,,,,
6,67,323,Delivery 【service】 is available to our customers for a slight extra charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,service,サービス,,,,
6,67,324,Delivery service is 【available】 to our customers for a slight extra charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,available,利用可能な,,,,
6,67,325,Delivery service is available to our 【customers】 for a slight extra charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,customer,客、顧客,,,,
6,67,326,Delivery service is available to our customers for a 【slight】 extra charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,slight,わずかな,,,,
6,67,327,Delivery service is available to our customers for a slight 【extra】 charge.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,extra,追加の,,,,
6,67,328,Delivery service is available to our customers for a slight extra 【charge】.,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。,charge,料金、手数料,,,,
6,68,329,"""【It's】 【on】 【me】."" ""No. You treat me every time we eat out."" ""Well, okay. Let's split the check then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」,It's on me.,私のおごりです,,,,
6,68,330,"""It's on me."" ""No. You 【treat】 me every time we eat out."" ""Well, okay. Let's split the check then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」,treat ...,…にごちそうする,,,,
6,68,331,"""It's on me."" ""No. You treat me 【every】 【time】 we eat out."" ""Well, okay. Let's split the check then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」,every time ~,〜するときはいつでも,,,,
6,68,332,"""It's on me."" ""No. You treat me every time we 【eat】 【out】."" ""Well, okay. Let's split the check then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」,eat out,外食する,,,,
6,68,333,"""It's on me."" ""No. You treat me every time we eat out."" ""Well, okay. Let's 【split】 【the】 【check】 then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」,split,分ける,split the check,割り勘にする,,
6,68,334,"""It's on me."" ""No. You treat me every time we eat out."" ""Well, okay. Let's split the 【check】 then.""",「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」,check,伝票,,,,
6,69,335,"While I was 【hanging】 【out】 at the mall, I ran into Ken.",ショッピングセンターをぶらぶらしていたら、偶然ケンに会った。,hang out,何となく時間を過ごす、ぶらぶらする,,,,
6,69,336,"While I was hanging out at the 【mall】, I ran into Ken.",ショッピングセンターをぶらぶらしていたら、偶然ケンに会った。,mall,ショッピングセンター,,,,
6,69,337,"While I was hanging out at the mall, I 【ran】 【into】 Ken.",ショッピングセンターをぶらぶらしていたら、偶然ケンに会った。,run into ...,…に偶然出会う,,,,
6,70,338,"I 【was】 【short】 【of】 cash, so I withdrew the $100 that I had deposited in my bank account last week.",現金が足りなかったので、先週口座に入れた100ドルを引き出した。,be short of ...,…が不足している,,,,
6,70,339,"I was short of cash, so I 【withdrew】 the $100 that I had deposited in my bank account last week.",現金が足りなかったので、先週口座に入れた100ドルを引き出した。,withdraw ...,…を引き出す,,,,
6,70,340,"I was short of cash, so I withdrew the $100 that I had 【deposited】 in my bank account last week.",現金が足りなかったので、先週口座に入れた100ドルを引き出した。,deposit ...,…を預ける,,,,
6,70,341,"I was short of cash, so I withdrew the $100 that I had deposited in my bank 【account】 last week.",現金が足りなかったので、先週口座に入れた100ドルを引き出した。,account,口座,,,,
6,71,342,【On】 【her】 【way】 home she was robbed of her purse.,彼女は帰宅途中にハンドバッグを盗まれた。,on the [one's] way (to ...),(…に向かう)途中で,,,,
6,71,343,On her way home she was 【robbed】 【of】 her purse.,彼女は帰宅途中にハンドバッグを盗まれた。,rob ...,…から強奪する,rob A of B,A(人)からB(物･金)を奪う,,
6,71,344,On her way home she was robbed of her 【purse】.,彼女は帰宅途中にハンドバッグを盗まれた。,purse,ハンドバッグ,,,,
6,72,345,"""That's 【odd】! Tell me how it happened."" ""I'll explain it to you later.""",「それは変だわ。どうしてそんなことが起きたのか教えて。」 「後で説明するよ。」,odd,奇妙な,,,,
6,72,346,"""That's odd! Tell me how it 【happened】."" ""I'll explain it to you later.""",「それは変だわ。どうしてそんなことが起きたのか教えて。」 「後で説明するよ。」,happen,起こる,,,,
6,72,347,"""That's odd! Tell me how it happened."" ""I'll 【explain】 it 【to】 you later.""",「それは変だわ。どうしてそんなことが起きたのか教えて。」 「後で説明するよ。」,explain...,(…を)説明する,explain A to B,ＡをＢに説明する,,
6,73,348,My parents gave me a 6 pm 【curfew】 as a punishment because I broke my promise.,私が約束を破ったので、罰として両親に門限を６時にされた。,curfew,門限,,,,
6,73,349,My parents gave me a 6 pm curfew as a 【punishment】 because I broke my promise.,私が約束を破ったので、罰として両親に門限を６時にされた。,punishment,罰,,,,
6,73,350,My parents gave me a 6 pm curfew as a punishment because I 【broke】 【my】 【promise】.,私が約束を破ったので、罰として両親に門限を６時にされた。,break one's promise[word],約束を破る,,,,
6,74,351,"【As】 【the】 【proverb】 【goes】, ""The end justifies the means.""",諺にある通り、「嘘も方便 （目的が手段を正当化する）」。,proverb,ことわざ,as the proverb goes[says],ことわざにあるとおり,,
6,74,352,"As the proverb goes, ""The 【end】 justifies the means.""",諺にある通り、「嘘も方便 （目的が手段を正当化する）」。,end,目的,,,,
6,74,353,"As the proverb goes, ""The end 【justifies】 the means.""",諺にある通り、「嘘も方便 （目的が手段を正当化する）」。,justify ...,…を正当化する,,,,
6,74,354,"As the proverb goes, ""The end justifies the 【means】.""",諺にある通り、「嘘も方便 （目的が手段を正当化する）」。,means,手段、方法,,,,
6,75,355,"【Now】 【that】 I've found that there's no one to turn to, I'll have to stand on my own two feet.",誰も頼れる人がいないとわかったのだから、自分の力でやっていくしかない。,now (that) ~,〜なのだから,,,,
6,75,356,"Now that I've found that there's no one to 【turn】 【to】, I'll have to stand on my own two feet.",誰も頼れる人がいないとわかったのだから、自分の力でやっていくしかない。,turn to ...,…に頼る,,,,
6,75,357,"Now that I've found that there's no one to turn to, I'll have to 【stand】 【on】 【my】 【own】 【two】 【feet】.",誰も頼れる人がいないとわかったのだから、自分の力でやっていくしかない。,stand on one's own two feet,自立する,,,,
